DOI,Year,Title,Journal
10.1016/j.apenergy.2022.118362,2022,Hierarchical distributed multi-energy demand response for coordinated operation of building clusters,Applied Energy
10.1016/j.enbuild.2022.111806,2022,Distributed model predictive control of buildings and energy hubs,Energy and Buildings
10.1016/j.apenergy.2022.118445,2022,Adaptable scheduling of smart building communities with thermal mapping and demand flexibility,Applied Energy
10.1016/j.apenergy.2024.122456,2024,Energy management in citizen energy communities: A flexibility-constrained robust optimization approach considering prosumers comfort,Applied Energy
