DOI,Year,Title,Journal
10.1016/j.enbuild.2023.113753,2024,Model predictive control of distributed energy resources in residential buildings considering forecast uncertainties,Energy and Buildings
10.1016/j.apenergy.2024.123414,2024,Scalable energy management approach of residential hybrid energy system using multi-agent deep reinforcement learning,Applied Energy
10.1016/j.energy.2023.127627,2023,Modeling and energy dynamic control for a ZEH via hybrid model-based deep reinforcement learning,Energy
10.1016/j.apenergy.2022.118361,2022,Data-driven prosumer-centric energy scheduling using convolutional neural networks,Applied Energy
