DOI,Year,Title,Journal
10.1016/j.buildenv.2020.106741,2020,Real-time dynamic estimation of occupancy load and an air-conditioning predictive control method based on image information fusion,Building and Environment
10.1016/j.enbuild.2021.110727,2021,A probabilistic hot water usage model and simulator for use in residential energy management,Energy and Buildings
10.1016/j.enbuild.2021.111274,2021,Development of a tool to predict the socio-economic consequences of better air quality and temperature control in classrooms,Energy and Buildings
10.1016/j.enbuild.2022.111699,2022,A non-intrusive data-driven model for detailed occupants’ activities classification in residential buildings using environmental and energy usage data,Energy and Buildings
10.1016/j.rser.2022.112731,2022,Occupancy detection and localization strategies for demand modulated appliance control in Internet of Things enabled home energy management system,Renewable and Sustainable Energy Reviews
10.1016/j.enbuild.2023.113485,2023,Towards automated occupant profile creation in smart buildings: A machine learning-enabled approach for user persona generation,Energy and Buildings
